Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.204-40.90.142.230-45752-443-6,192.168.1.204,45752,40.90.142.230,443,6,04/02/2020 09:54:01 AM,101764713,13,13,1422.0,10364.0,1000.0,0.0,109.38461538461537,274.4286605724514,1440.0,0.0,797.2307692307693,682.6960223806485,115.81617687066046,0.25549131161014527,4070588.5199999996,2.0158311524206754E7,1.00829675E8,1.0,1.01423446E8,8451953.833333332,2.9091517502486356E7,1.00829675E8,840.0,934936.0,77911.33333333334,121713.56305114916,341111.0,1.0,0,0,0,0,260,284,0.12774565580507263,0.12774565580507263,0.0,1440.0,436.5185185185184,612.9956939471278,375763.7207977208,0,1,0,0,0,0,0,0,1.0,453.3076923076923,109.38461538461539,797.2307692307693,0,0,0,0,0,0,13,1422,13,10364,-1,2047,5,0,0,0,0,0,0,0,0,0,No Label
142.250.4.188-192.168.1.204-5228-45409-6,192.168.1.204,45409,142.250.4.188,5228,6,04/02/2020 09:53:52 AM,90265699,2,3,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.03323521595949753,0.05539202659916255,2.256642475E7,2.59152864358003E7,4.5011141E7,65434.0,4.5189124E7,4.5189124E7,0.0,4.5189124E7,4.5189124E7,9.0265699E7,4.51328495E7,83705.17943651993,4.5192038E7,4.5073661E7,0,0,0,0,40,84,0.022156810639665018,0.03323521595949753,0.0,1.0,0.6666666666666667,0.5163977794943223,0.2666666666666667,0,0,0,0,1,0,0,0,1.0,0.8,1.0,0.3333333333333333,0,0,0,0,0,0,2,2,3,1,-1,255,2,0,180897.0,0.0,180897.0,180897.0,4.5009684E7,2060.5091603775995,4.5011141E7,4.5008227E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,04/02/2020 09:52:20 AM,110027738,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03635446908851293,3.6675912666666664E7,2.91860155724939E7,6.9968813E7,1.55006E7,4.0058925E7,2.00294625E7,6404778.769622921,2.4558325E7,1.55006E7,0,0,0,0,0,0,0,0,0,0,0,0.0272658518163847,0.009088617272128233,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,3.6675912666666664E7,2.91860155724939E7,6.9968813E7,1.55006E7,No Label
184.84.105.169-192.168.1.204-443-45757-6,192.168.1.204,45757,184.84.105.169,443,6,04/02/2020 09:55:34 AM,60486272,8,11,596.0,6293.0,280.0,0.0,74.50000000000001,110.82418508610834,1440.0,0.0,572.0909090909091,661.361694467627,113.89361209102125,0.31412086365646735,3360348.444444444,1.4124753876041314E7,5.9956867E7,97.0,6.0454641E7,8636377.285714285,2.2630580524599496E7,5.9956867E7,604.0,481268.0,48126.8,75596.41373151683,251962.0,368.0,0,0,0,0,160,244,0.1322614162764073,0.18185944738006005,0.0,1440.0,344.44999999999993,549.2397113522617,301664.2605263158,0,1,0,0,0,0,0,0,1.0,362.57894736842104,74.5,572.0909090909091,0,0,0,0,0,0,8,596,11,6293,-1,245,3,0,0,0,0,0,0,0,0,0,No Label
192.168.1.204-104.90.202.72-45755-443-6,192.168.1.204,45755,104.90.202.72,443,6,04/02/2020 09:55:34 AM,60497256,9,13,594.0,9242.0,273.0,0.0,66.0,105.60894848449159,1440.0,0.0,710.9230769230768,683.7674387219753,162.58588654004407,0.36365285724694685,2880821.714285714,1.3103082495673332E7,6.0066666E7,1.0,6.0491084E7,7561385.5,2.1215668428944707E7,6.0066666E7,1115.0,389865.0,32488.750000000004,84855.20306661975,297221.0,1.0,0,0,0,0,180,284,0.14876707796466007,0.21488577928228678,0.0,1440.0,427.6521739130434,606.8865858323458,368311.32806324115,0,1,0,0,0,0,0,0,1.0,447.09090909090907,66.0,710.9230769230769,0,0,0,0,0,0,9,594,13,9242,-1,245,3,0,0,0,0,0,0,0,0,0,No Label
192.168.1.204-104.90.202.72-45756-443-6,192.168.1.204,45756,104.90.202.72,443,6,04/02/2020 09:55:34 AM,60497731,7,14,595.0,10542.0,274.0,0.0,85.0,114.3109793501919,1440.0,0.0,752.9999999999998,690.2574770441713,184.0895487468778,0.3471204564680285,3024886.55,1.3434198616428735E7,6.0099723E7,2.0,6.0491045E7,1.0081840833333334E7,2.4504066614764262E7,6.0099723E7,737.0,397803.0,30600.230769230773,84798.96577902531,309353.0,2.0,0,0,0,0,140,304,0.11570681882267617,0.23141363764535233,0.0,1440.0,506.22727272727275,640.8019478463189,410627.13636363635,0,1,0,0,0,0,0,0,2.0,530.3333333333334,85.0,753.0,0,0,0,0,0,0,7,595,14,10542,-1,245,3,0,0,0,0,0,0,0,0,0,No Label
192.168.1.204-104.90.202.72-45755-443-6,104.90.202.72,443,192.168.1.204,45755,6,04/02/2020 09:56:35 AM,2,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,1.55E7,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,500000.0,500000.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.204-104.90.202.72-45756-443-6,104.90.202.72,443,192.168.1.204,45756,6,04/02/2020 09:56:35 AM,3,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,1.0333333333333334E7,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,333333.3333333333,333333.3333333333,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
184.84.105.169-192.168.1.204-443-45757-6,184.84.105.169,443,192.168.1.204,45757,6,04/02/2020 09:56:35 AM,14479,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,2141.0318392154154,207.19662960149182,7239.5,10010.510701257954,14318.0,161.0,0,0,0,0,0,161.0,161.0,0.0,161.0,161.0,0,1,0,0,20,40,69.06554320049727,138.13108640099455,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
172.105.215.210-192.168.1.204-443-45759-6,192.168.1.204,45759,172.105.215.210,443,6,04/02/2020 09:56:37 AM,3538985,6,11,626.0,4782.0,326.0,0.0,104.33333333333334,131.7295208625108,1440.0,0.0,434.72727272727263,582.0178847611285,1528.1217637260402,4.803637201061886,221186.5625,742816.6271510953,2998216.0,1.0,413403.0,82680.6,74352.94416026847,148072.0,450.0,3538985.0,353898.5,931534.119428716,2998418.0,1.0,0,0,0,0,120,244,1.6954013650806659,3.1082358359812208,0.0,1440.0,300.44444444444446,484.6822151401912,234916.84967320258,0,1,0,0,0,0,0,0,1.0,318.11764705882354,104.33333333333333,434.72727272727275,0,0,0,0,0,0,6,626,11,4782,-1,254,3,0,0,0,0,0,0,0,0,0,No Label
